StudentID,Class,Version,Section,B1,B2,B3,B4,B5,B6,B7,B8,B9,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,E2,E4,E5,E6,E7,F1,F2,F3,F4,F5,F6,G1,G2,G4,EN1,EN3,FN7,GN3,GN5,GN6,GN7,GN8,HN1,HN2,HN3,HN5,HN6
S011,6,Bangla,C,4,2,4,1,1,4,1,4,5,3,4,1,1,4,2,1,1,1,2,2,1,3,1,2,4,3,4,4,2,3,5,2,1,1,3,5,2,4,1,2,2,4,5,5,2,2,4,5,2,3
S012,6,Bangla,B,1,1,5,3,4,1,5,1,2,3,3,1,1,1,3,3,2,1,5,2,3,4,4,1,3,2,5,2,5,2,1,4,5,5,3,2,2,1,5,5,2,5,2,3,4,3,3,5,5,5
S013,6,Bangla,B,1,3,5,1,1,4,2,3,1,4,2,1,1,4,1,3,4,4,2,5,2,1,5,1,3,2,5,2,1,3,1,1,4,5,1,1,2,3,3,2,2,4,4,3,3,5,1,2,5,4
S014,6,English,A,2,3,4,2,4,5,1,1,5,4,1,4,4,2,3,2,1,5,5,2,5,2,2,2,3,2,4,3,2,4,5,3,5,3,1,5,5,2,5,3,1,1,3,1,3,4,4,2,1,3
S015,6,Bangla,E,2,4,4,5,3,1,4,5,4,3,3,3,2,2,1,1,4,3,3,4,2,1,1,4,2,1,5,3,5,4,4,4,2,4,3,3,2,4,5,3,4,5,5,5,5,2,3,4,4,5
S016,6,English,D,5,5,5,2,2,2,2,1,1,2,3,2,3,4,3,1,2,1,3,5,2,5,5,3,4,1,4,2,5,2,4,3,2,3,2,2,4,4,3,4,2,1,3,3,2,5,5,1,1,1
S017,6,English,B,5,1,3,5,1,5,3,3,5,1,3,1,2,1,1,2,4,1,3,5,3,1,3,1,5,2,2,3,1,2,4,2,2,3,3,4,5,2,1,2,5,5,2,3,3,5,3,2,4,4
S018,6,Bangla,E,4,2,1,1,3,3,3,5,5,1,1,4,1,3,4,1,1,5,5,5,4,4,4,2,4,3,1,1,3,1,4,1,4,4,4,2,3,2,2,4,5,1,4,3,4,5,5,4,3,3
S019,6,Bangla,C,5,2,3,4,1,3,3,2,4,1,2,2,3,1,4,4,2,3,3,1,5,5,5,3,4,5,5,5,5,1,5,1,3,5,4,1,5,3,4,2,5,3,5,2,3,5,4,2,4,5
S020,6,English,C,4,4,2,2,2,3,5,5,1,2,4,1,1,4,2,4,1,5,4,3,1,3,2,3,5,3,3,3,3,2,1,2,5,3,2,4,5,5,4,2,3,4,1,4,5,5,2,2,1,4
S021,6,Bangla,A,2,1,4,4,4,1,3,5,4,2,4,3,2,1,3,1,4,4,1,1,5,4,1,3,1,2,5,2,5,4,5,2,5,1,1,1,2,1,4,2,5,3,5,3,2,5,4,3,1,1
S022,6,English,A,3,4,3,4,4,1,5,3,4,3,3,3,3,1,1,3,2,5,3,1,2,1,4,2,5,5,4,4,2,3,5,1,2,1,2,5,2,3,3,4,4,2,2,5,5,2,1,4,5,3
S023,6,Bangla,D,4,5,1,3,3,2,4,5,4,4,4,2,4,2,3,1,1,3,5,3,4,4,2,2,3,3,2,2,5,5,5,1,3,1,3,3,4,4,3,4,4,5,4,2,3,2,3,4,1,5
S024,6,English,C,5,3,4,2,2,3,1,2,5,3,1,3,4,4,2,3,1,1,4,5,1,1,2,1,5,5,3,2,3,5,2,3,2,3,3,4,2,2,5,3,5,5,4,4,4,5,3,2,4,5
S025,6,English,E,1,1,4,5,3,3,4,5,5,4,3,1,1,3,3,4,3,2,2,4,3,5,4,4,5,5,5,5,4,1,3,1,4,1,5,3,3,4,2,3,5,5,3,3,3,5,2,5,4,4
S026,6,Bangla,D,3,2,2,2,2,2,5,2,4,2,4,4,2,3,1,2,3,2,3,3,4,4,5,5,5,4,5,4,1,3,5,3,2,1,5,2,2,1,4,2,3,5,1,4,2,5,4,5,1,2
S027,6,Bangla,E,2,4,2,4,4,4,5,1,3,2,4,4,3,2,2,2,2,5,1,5,3,2,2,1,5,1,5,4,3,3,5,2,2,4,2,1,2,4,3,5,4,5,2,2,5,1,4,5,4,4
S028,6,English,B,3,1,1,1,2,4,2,4,3,1,1,2,4,3,1,2,1,5,2,1,4,2,4,3,3,4,1,2,1,3,5,5,4,1,3,3,5,5,5,2,4,4,1,3,4,2,2,3,3,4
S029,6,Bangla,C,2,3,1,4,2,3,5,3,1,1,2,1,4,2,3,2,4,4,5,5,2,4,4,2,4,1,5,5,2,3,5,2,3,3,1,3,1,2,3,5,3,4,3,4,5,3,1,5,3,2
S030,6,English,B,5,4,4,3,5,2,4,5,1,4,1,1,1,1,4,4,3,4,2,5,2,5,3,2,4,2,2,3,3,4,3,5,2,4,5,4,4,5,2,4,1,1,5,1,2,1,4,2,1,5
S031,6,Bangla,B,2,5,1,4,3,3,2,1,3,4,1,2,3,3,4,3,1,4,5,4,5,3,4,3,5,1,4,2,2,4,1,2,2,4,5,4,2,4,5,2,4,4,4,3,1,2,5,1,4,4
S032,6,Bangla,D,5,5,3,1,5,4,3,3,5,2,4,2,3,4,3,1,4,1,3,4,1,5,2,2,2,5,2,1,4,4,1,1,5,4,5,5,5,1,5,4,3,1,5,2,4,4,3,5,4,1
S033,6,English,D,3,5,4,4,4,1,2,1,5,4,2,1,1,4,2,4,3,2,3,5,1,1,3,4,4,1,5,2,2,2,5,2,1,1,5,1,4,4,4,3,5,1,4,4,3,1,3,1,3,1
S034,7,English,E,1,2,5,4,1,2,1,5,1,3,4,1,1,2,2,3,4,2,5,2,5,2,1,3,5,3,3,4,4,5,4,2,4,2,3,5,2,4,1,4,4,2,5,3,3,1,4,3,1,2
S035,7,Bangla,E,2,3,1,4,1,5,3,5,1,4,2,4,2,4,3,3,1,2,3,2,5,1,4,1,2,3,5,5,3,2,1,5,2,3,5,1,5,4,3,3,1,1,3,5,1,4,3,2,1,1
S036,7,English,A,5,3,2,5,1,3,3,1,4,2,1,3,3,4,3,4,3,2,3,2,4,4,4,4,5,3,2,2,3,1,5,2,2,4,5,4,2,2,5,4,2,4,5,3,3,3,1,1,3,2
S037,7,Bangla,E,5,1,1,5,4,2,1,3,1,3,3,2,1,1,3,1,3,1,2,1,3,2,2,5,5,3,2,5,5,2,4,4,5,2,2,3,2,5,2,3,3,2,3,4,4,3,3,4,2,3
S038,7,Bangla,B,4,3,2,4,4,4,4,4,4,2,1,1,3,4,3,3,4,5,5,1,3,5,5,2,2,4,3,4,2,5,4,3,1,5,4,3,5,1,1,4,5,2,4,1,4,1,1,3,2,2
S039,7,Bangla,E,4,4,2,3,4,4,3,3,2,1,1,3,1,1,2,2,2,3,2,1,4,3,3,3,1,2,1,2,2,1,3,4,2,4,4,1,4,2,2,4,3,3,3,5,5,4,2,1,4,5
S040,7,English,D,4,1,4,5,2,5,4,1,2,2,1,1,1,2,4,1,3,3,4,1,3,4,2,4,3,1,5,1,3,3,5,2,3,4,4,3,2,4,3,2,2,2,4,2,4,3,1,4,2,1
S041,7,Bangla,A,4,5,4,4,3,4,5,4,1,1,3,4,1,1,3,2,2,4,5,5,1,2,4,5,2,1,2,3,2,2,1,1,4,4,5,1,3,2,4,4,3,1,4,3,2,5,4,5,4,4
S042,7,English,E,1,5,3,3,2,1,1,4,3,2,3,1,3,4,3,1,3,1,4,1,2,3,2,3,2,5,1,1,2,4,3,4,2,2,4,2,5,2,4,3,1,3,2,3,2,1,1,4,2,2
S043,7,English,B,2,3,3,3,3,1,3,4,3,4,1,4,3,3,2,1,4,2,5,4,4,4,3,5,5,5,5,1,3,4,2,4,4,4,1,3,4,4,2,3,3,2,5,4,1,5,4,5,5,3
S044,7,English,B,4,1,1,5,1,1,2,1,4,3,3,4,2,3,3,4,4,1,4,4,3,1,4,2,2,4,5,2,1,4,2,1,5,1,1,4,5,1,4,3,5,5,4,1,4,5,3,3,1,4
S045,7,English,D,5,4,3,4,4,5,1,5,3,1,2,2,4,1,4,2,2,4,2,4,3,2,3,1,2,5,5,4,3,5,1,3,2,2,1,2,2,4,5,3,3,1,5,2,2,1,3,2,3,3
S046,7,Bangla,D,2,2,2,1,4,5,5,2,4,3,3,2,2,4,3,2,2,4,1,3,3,2,4,5,5,4,2,1,5,3,5,1,4,5,3,1,1,3,4,1,1,3,3,2,4,5,1,5,4,3
S047,7,English,D,3,5,4,4,1,1,1,1,3,3,4,2,3,2,3,2,3,1,4,2,5,2,2,1,4,5,5,2,5,3,5,5,1,2,1,2,1,2,5,5,2,2,1,2,3,2,3,1,2,1
S048,7,Bangla,D,4,5,1,4,5,1,3,4,4,1,3,1,2,4,4,2,3,5,3,1,1,4,5,3,2,3,2,3,1,2,3,2,1,5,2,2,1,1,3,3,4,3,5,3,1,5,4,1,3,1
S049,7,English,D,1,2,4,3,1,5,5,5,1,3,3,4,3,4,1,4,2,5,5,2,3,5,5,1,1,2,5,1,3,2,5,3,3,5,2,1,5,5,1,4,2,2,2,2,3,3,1,4,1,4
S050,7,English,B,1,3,1,3,2,1,1,2,1,2,3,4,4,3,1,2,3,2,1,2,5,4,3,1,5,1,1,5,5,1,3,2,2,1,1,1,3,1,1,1,1,4,5,5,1,1,4,2,1,1
S051,7,English,D,3,3,5,5,2,1,4,5,3,4,3,1,2,2,1,3,3,1,3,2,5,5,5,5,1,1,1,1,5,2,4,5,3,5,2,3,1,1,5,1,5,5,3,3,2,1,5,5,4,3
S052,7,Bangla,B,3,3,4,2,2,3,5,5,1,2,1,4,3,1,2,4,4,2,4,5,4,2,2,5,1,1,4,1,4,4,4,4,3,2,1,3,2,2,3,2,4,4,5,4,3,4,2,3,4,3
S053,7,Bangla,E,2,1,4,2,1,3,3,3,1,3,1,1,4,3,4,4,3,3,4,1,5,2,1,2,2,3,2,2,3,5,5,3,5,3,5,2,1,3,2,3,4,1,3,2,5,5,5,4,1,2
S054,7,English,C,1,5,3,3,5,5,4,2,2,4,1,3,3,3,1,3,3,3,3,1,5,1,2,5,5,5,2,3,2,1,2,4,4,2,2,1,4,2,5,1,4,4,5,4,2,5,5,1,1,5
S055,7,Bangla,C,3,2,2,1,3,2,1,3,4,2,1,1,3,1,4,2,1,3,5,5,4,1,2,4,2,1,5,5,4,3,3,3,1,4,3,1,2,2,1,3,5,4,5,5,3,3,2,1,4,3
S056,7,English,A,1,5,5,2,5,5,4,5,5,2,3,4,3,1,2,1,4,2,5,3,5,2,1,2,1,1,4,4,1,5,3,3,3,1,5,1,1,2,1,4,1,4,4,1,3,2,4,5,2,5
S057,7,Bangla,C,2,1,4,5,5,5,1,1,5,2,1,3,3,2,1,4,1,1,3,4,3,4,5,5,5,3,5,1,4,2,4,1,5,3,1,4,5,3,4,5,1,2,4,5,5,2,5,2,2,2
S058,7,Bangla,C,1,3,3,2,3,1,3,4,3,3,4,3,3,1,3,1,3,5,5,2,2,5,4,5,5,1,1,4,2,5,5,5,1,5,4,5,4,4,3,3,3,3,2,2,2,5,2,4,5,3
S059,7,Bangla,D,5,3,5,2,2,2,1,5,2,2,3,1,2,3,4,3,4,2,1,2,2,1,2,4,5,1,3,1,3,2,3,1,2,1,5,2,2,4,4,2,4,4,5,4,2,5,3,5,2,5
S060,7,English,B,1,5,4,3,5,5,2,4,5,2,4,4,1,3,4,3,1,1,3,2,3,3,5,1,1,5,3,5,3,3,5,5,1,2,3,5,2,3,1,4,2,4,5,3,2,4,3,3,1,4
S061,7,English,C,2,5,1,4,3,3,4,4,5,3,2,3,2,2,1,4,2,4,1,1,5,1,3,4,1,4,1,2,3,4,1,2,4,4,3,3,3,1,2,2,1,5,5,1,5,4,5,1,3,2
S062,7,Bangla,C,2,3,1,5,4,2,2,1,4,3,4,2,1,2,2,4,4,2,2,4,5,3,1,3,1,3,4,5,4,2,4,5,4,1,4,5,4,1,5,3,2,3,1,2,3,5,5,2,1,2
S063,7,English,D,1,4,3,5,4,3,1,5,2,2,3,4,1,2,2,2,2,1,5,5,3,3,4,1,3,1,4,2,3,3,1,2,1,2,3,4,3,5,3,2,1,4,1,1,1,3,4,1,2,2
S064,7,English,B,4,4,1,2,2,5,2,2,3,3,1,2,3,1,4,3,2,2,2,4,3,2,4,1,2,1,4,4,2,5,1,1,4,5,5,3,3,1,4,4,1,3,3,2,2,3,4,4,1,1
S065,7,Bangla,D,2,3,5,4,5,3,2,2,3,3,1,1,1,2,2,3,3,2,1,2,4,5,2,4,1,3,5,2,3,2,3,1,4,2,3,3,2,1,4,4,4,1,1,3,4,2,4,2,2,4
S066,7,English,A,5,1,4,2,3,5,2,5,2,4,3,4,2,3,2,1,1,5,4,4,1,2,1,2,4,5,5,4,2,2,3,1,5,3,5,5,1,1,1,5,5,1,3,1,5,1,1,5,4,4
S067,7,Bangla,B,4,1,1,5,4,1,1,5,5,2,2,3,3,1,1,2,4,5,2,1,1,2,3,4,5,3,1,3,5,3,4,1,5,4,2,1,2,4,1,3,3,1,3,2,5,2,3,5,3,1
S068,9,English,D,1,1,3,2,5,1,1,5,1,1,3,2,1,4,4,1,4,1,2,4,5,1,2,3,4,3,1,1,4,2,5,5,2,5,1,4,3,1,1,1,4,3,4,3,1,2,2,2,3,2
S069,9,English,B,2,2,2,3,3,2,2,1,1,2,2,4,1,3,2,2,2,3,1,2,1,1,2,3,3,4,2,1,5,4,5,4,1,2,3,1,3,4,2,2,3,5,3,4,1,3,2,2,5,1
S070,9,English,B,1,3,2,3,2,4,2,1,4,2,2,2,1,4,3,3,1,1,3,5,3,4,5,2,4,3,1,1,2,3,1,5,2,5,5,3,2,5,5,2,3,4,3,3,4,2,2,2,3,2
S071,9,Bangla,C,2,2,2,3,1,2,2,1,1,1,4,3,2,2,3,2,1,5,4,3,4,3,1,3,2,4,4,5,4,3,3,4,4,4,3,2,3,1,1,4,5,1,5,3,4,1,1,1,5,1
S072,9,English,A,4,3,1,5,2,2,2,3,4,4,4,4,2,4,4,1,1,1,1,3,4,4,1,1,5,2,1,2,5,1,3,4,3,2,4,2,1,3,2,4,1,2,1,2,1,2,3,5,5,2
S073,9,Bangla,D,5,2,1,5,4,4,2,1,1,4,3,4,4,2,3,1,4,4,4,4,4,2,4,3,4,2,4,3,5,1,3,2,4,3,3,1,4,3,2,2,4,4,3,5,2,1,4,3,1,1
S074,9,Bangla,E,5,5,3,5,4,4,2,5,5,2,4,3,4,1,2,1,4,1,3,1,3,2,4,2,2,1,2,5,2,3,2,5,3,2,2,1,4,2,5,4,4,5,1,4,1,1,3,2,5,4
S075,9,Bangla,E,3,1,4,4,3,3,3,2,4,4,3,1,2,1,4,4,1,3,4,1,2,1,2,1,2,1,1,4,5,4,5,4,1,1,5,5,4,1,1,5,4,4,1,3,5,5,5,4,5,5
S076,9,Bangla,D,4,1,2,4,3,4,3,4,5,1,1,4,2,2,3,4,4,4,2,4,4,4,5,5,2,5,3,2,1,3,1,1,2,4,2,4,2,3,5,1,4,1,2,5,3,1,5,5,1,5
S077,9,Bangla,E,3,1,3,5,4,3,3,4,4,1,4,3,4,2,4,1,4,3,4,3,1,4,3,2,3,4,4,1,2,1,4,5,4,3,5,1,2,5,2,4,1,4,1,2,5,3,4,3,2,1
S078,9,Bangla,B,5,1,5,2,5,2,3,2,4,4,2,3,3,1,1,2,1,1,1,2,3,5,5,3,5,1,1,4,2,1,5,4,5,4,3,4,5,2,2,4,4,3,1,1,1,3,2,3,1,2
S079,9,English,A,1,4,1,1,4,1,3,3,1,3,2,3,3,2,4,4,4,5,5,3,2,5,2,5,5,1,5,4,2,4,2,4,3,4,4,1,4,3,1,4,5,5,5,5,3,4,3,2,1,4
S080,9,Bangla,C,4,5,1,5,2,3,5,4,4,1,2,3,3,3,3,1,1,1,1,5,1,5,1,4,3,3,1,5,5,5,5,4,3,1,1,4,3,3,2,1,4,1,4,2,4,1,1,4,2,4
S081,9,Bangla,E,1,5,3,1,5,5,5,3,1,4,4,2,1,4,3,2,2,5,3,5,2,4,5,3,2,2,3,4,2,3,4,1,1,5,2,2,2,1,2,4,4,5,3,2,3,3,3,4,3,4
S082,9,Bangla,C,5,4,4,2,5,4,5,4,3,4,1,4,2,2,2,1,4,4,1,2,2,5,3,1,1,4,4,3,2,3,5,4,1,3,4,2,3,2,1,2,3,2,1,3,5,5,3,1,3,3
S083,9,English,D,2,4,1,4,2,5,4,5,5,1,3,1,2,1,1,3,2,2,3,4,1,4,5,2,5,3,3,4,5,2,2,4,1,4,2,3,2,3,3,1,3,5,3,2,2,4,1,2,4,3
S084,9,Bangla,E,5,4,5,2,4,2,2,3,3,2,4,4,3,1,2,4,3,2,3,2,3,2,5,2,3,3,1,2,5,4,4,4,3,4,4,3,4,5,4,4,3,3,1,4,2,1,3,2,3,5
S085,9,English,C,5,2,1,5,5,2,4,1,4,4,2,3,2,2,4,2,2,3,4,1,4,2,2,2,5,3,4,1,3,2,3,4,5,2,2,4,5,2,4,5,1,4,5,4,3,2,3,2,3,1
S086,9,English,E,3,4,2,4,3,4,3,3,1,1,4,4,1,4,3,1,4,4,2,2,1,3,5,1,3,2,4,3,5,5,5,5,2,2,5,1,2,3,1,4,5,3,3,4,5,3,2,4,1,3
S087,9,English,C,1,5,4,3,3,5,2,1,2,2,3,1,1,1,3,1,2,1,3,4,1,5,3,3,2,5,2,1,4,3,5,5,5,3,3,3,4,3,3,3,3,2,4,2,2,1,4,1,5,1
S088,9,Bangla,D,4,4,2,3,1,4,3,4,3,1,4,1,3,4,3,3,2,1,3,2,4,1,1,2,2,5,3,3,4,2,3,4,2,4,2,5,3,4,4,5,3,4,1,5,5,3,3,4,2,1
S089,9,Bangla,E,2,4,2,2,2,1,2,5,3,2,1,2,3,3,1,4,2,3,5,5,3,1,3,1,4,4,4,2,3,3,2,3,5,1,3,2,5,5,4,1,4,2,5,1,5,2,5,4,4,2
S090,9,English,A,3,1,2,4,4,3,3,4,5,4,4,1,4,2,3,3,4,1,5,2,2,5,4,3,3,3,5,1,4,4,2,4,5,5,2,1,5,3,5,5,5,5,3,1,3,4,4,4,2,4
S091,9,Bangla,E,3,3,4,2,5,3,3,4,2,2,3,2,3,1,2,2,4,4,3,4,4,3,1,1,5,3,4,3,1,5,5,2,3,1,2,5,1,5,2,5,2,3,4,2,5,4,1,5,3,3
S092,9,Bangla,D,5,1,4,2,2,1,5,1,4,3,2,4,2,1,3,1,2,1,4,3,1,3,5,1,5,4,2,4,3,2,5,5,5,4,2,1,3,5,1,4,2,2,3,3,3,1,2,1,5,2
S093,9,Bangla,B,5,4,5,5,5,5,3,3,3,1,4,3,3,3,4,3,2,4,5,1,3,3,5,5,1,2,3,2,3,2,3,1,5,2,2,5,5,5,4,4,1,3,1,5,3,2,1,4,1,4
S094,9,Bangla,D,3,1,5,1,5,5,4,5,5,2,1,1,3,3,4,4,1,1,2,4,4,3,3,2,2,4,4,2,3,5,1,4,4,1,2,5,3,2,2,4,4,4,3,5,5,1,5,2,1,3
S095,9,English,B,2,3,3,3,2,3,1,3,5,3,3,2,1,1,1,1,2,5,3,4,4,1,2,4,2,5,4,3,2,4,4,2,3,4,4,5,2,2,3,3,4,2,4,4,5,3,3,2,4,1
S096,9,English,B,4,5,4,5,3,5,1,2,4,3,1,4,1,1,1,1,1,1,1,4,2,5,3,4,4,5,2,5,2,1,2,5,5,2,4,3,1,5,4,4,1,1,2,4,4,1,5,1,2,4
S097,9,Bangla,D,5,2,3,3,5,3,3,5,3,3,2,1,3,1,2,1,2,3,3,2,1,5,4,1,5,2,4,4,5,3,5,2,1,2,1,3,5,5,4,2,2,4,5,1,5,4,5,2,2,1
S098,9,Bangla,E,2,2,2,2,1,4,2,1,1,4,4,3,4,1,4,3,1,1,2,4,1,1,1,4,2,5,2,3,4,5,3,4,5,3,4,2,3,2,2,3,2,1,2,5,1,1,4,2,5,5
S099,9,Bangla,B,5,2,2,2,3,4,5,3,1,3,3,3,1,1,1,2,2,3,5,3,3,1,5,3,3,4,5,3,3,1,5,5,4,4,1,2,5,1,4,5,2,2,5,4,4,2,5,2,5,2
S100,9,Bangla,C,2,4,4,4,2,5,1,3,1,3,2,1,4,4,4,4,2,3,3,4,1,1,2,3,1,2,1,4,2,2,1,3,2,4,3,3,3,4,5,4,2,4,5,4,4,2,1,3,5,5
