StudentID,Class,Version,Section,B1,B2,B3,B4,B5,B6,B7,B8,B9,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,E2,E4,E5,E6,E7,F1,F2,F3,F4,F5,F6,G1,G2,G4,EN1,EN3,FN7,GN3,GN5,GN6,GN7,HN1,HN2,HN3,HN5,HN6
S024,9,English,A,3,4,2,1,3,2,1,3,2,2,1,1,2,1,2,3,2,5,5,1,1,1,1,1,5,5,5,1,,1,1,2,,1,5,5,4,5,5,5,1,4,1,3,1,1,3,5,1
S025,9,English,A,1,2,1,1,2,2,1,1,1,2,2,3,2,2,2,2,3,3,2,4,2,2,2,3,2,4,2,2,2,2,2,3,2,2,2,4,2,3,2,2,2,2,5,2,3,1,2,5,2
S026,9,English,A,2,3,5,3,2,2,4,3,1,3,2,1,2,1,2,4,1,5,4,2,3,3,2,4,2,5,2,1,2,2,1,3,2,4,2,1,5,1,4,3,5,1,1,1,1,1,4,5,3
S027,7,English,A,2,3,2,5,2,4,2,3,1,2,2,1,2,1,2,3,1,1,5,2,1,2,1,5,3,5,3,5,3,1,1,1,3,4,3,1,2,5,1,3,4,2,1,3,4,1,1,5,1
S028,9,English,A,1,2,1,4,3,2,3,1,2,2,4,1,2,3,1,3,1,3,5,4,2,1,1,2,3,3,2,5,1,3,3,3,5,3,2,1,5,4,5,4,5,5,3,5,1,4,5,2,5
S029,9,English,A,4,3,2,1,1,,3,1,3,2,2,4,1,2,2,2,2,1,2,1,1,5,1,1,1,2,1,2,1,2,2,2,5,2,5,4,2,1,5,5,5,5,5,5,4,4,5,5,3
S030,9,English,A,1,2,2,2,1,2,1,1,1,1,2,1,2,1,1,3,1,3,3,2,2,3,4,2,3,3,2,3,1,2,1,1,3,4,1,1,2,3,4,3,1,3,5,4,1,1,1,2,2
S031,9,English,A,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,1,1,2,1,1,2,3,2
S032,9,English,A,1,4,2,4,4,,2,1,1,2,2,2,2,1,1,2,2,3,4,2,4,4,4,4,4,4,4,3,4,4,1,4,4,4,5,2,4,4,2,4,4,3,4,3,4,4,4,3,4
S033,9,English,A,1,3,4,2,2,3,3,1,1,2,2,2,3,1,1,2,2,3,4,2,2,3,2,2,2,3,2,2,2,2,2,2,3,2,2,5,5,3,2,4,5,3,2,1,5,4,5,4,5
S034,7,English,A,2,3,1,2,3,1,3,4,1,4,2,3,2,2,1,1,4,3,1,3,5,3,1,5,2,5,3,5,1,1,1,5,3,1,5,1,4,5,1,3,1,2,5,3,4,1,1,5,5
S035,9,English,A,1,3,4,4,1,2,4,1,1,1,2,1,2,1,2,2,2,3,5,1,5,2,2,2,3,1,1,2,1,1,1,1,3,3,3,5,5,1,5,5,5,5,5,1,5,4,5,5,3
S036,9,English,A,3,2,4,4,5,4,5,5,4,2,3,2,4,1,2,3,4,2,5,2,1,1,5,1,3,3,2,2,1,1,2,1,1,3,3,1,2,2,2,5,3,1,4,4,1,1,4,4,4
S037,9,English,A,2,4,5,5,1,5,4,3,1,4,3,3,4,1,1,2,2,5,1,1,1,1,2,2,2,5,4,2,2,2,4,2,2,1,3,3,3,4,5,4,1,4,5,4,5,5,5,1,5
S038,9,English,A,3,4,3,5,3,5,5,5,3,4,4,3,3,2,4,4,4,1,1,1,1,4,5,3,2,1,4,5,1,1,1,1,5,3,5,1,1,5,5,4,5,1,5,5,5,5,5,5,4
S039,7,English,A,1,3,2,1,1,2,4,2,1,3,2,3,3,1,1,1,4,2,3,2,4,1,1,1,1,2,2,1,1,1,2,1,1,1,5,1,5,1,4,5,5,5,5,4,4,2,1,5,5
S040,7,English,A,1,2,2,3,4,2,2,3,1,2,2,2,1,1,1,4,4,3,3,1,4,1,3,2,3,5,3,1,1,1,1,3,2,2,3,2,3,1,2,5,5,1,5,3,5,5,2,3,4
S041,7,English,A,1,2,2,3,4,2,5,2,1,2,1,2,1,1,4,2,2,1,4,2,2,2,5,2,4,1,4,5,4,2,4,4,4,2,4,2,4,4,2,4,4,4,2,4,1,4,2,4,1
S042,7,English,A,1,3,3,2,4,2,3,1,1,2,2,1,2,1,2,3,4,2,1,1,1,2,2,4,2,5,1,2,1,2,1,2,2,1,1,1,3,5,5,5,5,4,2,5,5,4,2,4,3
S043,7,English,A,4,3,5,4,3,3,4,2,5,3,2,2,3,1,2,3,3,3,3,1,3,5,3,4,1,2,3,3,1,5,5,1,2,3,4,5,2,2,4,4,3,5,4,2,4,3,4,4,3
S044,7,English,A,1,3,4,3,2,1,1,1,1,3,2,1,2,1,2,1,1,2,2,2,2,3,2,2,3,4,2,3,2,2,4,3,3,2,2,2,3,3,3,2,4,2,2,4,3,3,3,4,3
S045,7,English,A,3,4,5,5,4,5,3,2,1,4,2,4,2,3,4,1,4,1,3,2,1,2,2,1,5,5,5,5,1,2,2,3,1,2,5,2,5,2,1,2,5,1,5,5,2,1,3,2,2
S046,7,English,A,2,2,2,2,1,2,2,1,1,3,3,2,2,3,3,4,2,1,3,2,3,2,3,3,2,2,3,2,2,2,2,2,3,2,3,2,1,3,3,2,5,3,4,3,3,3,2,2,3
S047,7,English,A,2,1,2,3,3,4,5,2,1,4,3,4,4,1,1,3,2,2,4,1,5,1,2,1,4,2,4,1,1,1,2,2,4,2,1,1,2,2,4,5,4,4,2,1,5,4,2,4,5
S048,9,English,A,1,2,2,4,3,5,4,2,1,3,2,3,2,1,2,3,2,3,4,2,1,2,4,5,2,3,5,5,1,2,5,2,1,1,5,4,2,3,1,1,3,1,1,1,1,1,1,1,1
S049,7,English,A,1,3,2,2,3,5,2,1,1,1,2,1,2,1,1,2,3,2,3,4,2,1,2,3,4,2,1,2,1,1,1,3,4,2,4,3,4,2,2,1,4,3,5,2,4,1,1,3,3
S050,7,English,A,1,1,3,3,2,1,5,3,2,1,2,3,2,4,3,1,2,2,5,3,2,4,3,1,3,4,3,2,4,1,3,2,4,1,3,1,4,5,3,1,5,3,2,4,1,2,4,2,4
S051,7,English,A,1,5,1,3,5,4,3,5,1,3,4,3,2,3,4,3,3,3,4,1,3,2,5,1,3,5,3,1,1,1,3,4,3,5,3,4,3,5,3,,2,3,,,2,4,2,3,4
S052,7,English,A,2,5,3,1,4,5,3,4,5,2,2,2,3,1,3,3,1,4,5,1,1,1,3,4,2,4,4,5,3,1,1,1,3,1,5,1,4,2,1,1,3,1,1,1,1,1,1,3,1
S053,7,English,A,1,1,1,2,1,1,5,3,1,4,2,1,4,1,2,1,1,5,5,2,4,2,4,2,2,2,4,,5,5,4,5,5,4,5,3,1,5,1,5,1,1,1,3,1,3,1,1,1
S054,7,English,A,2,3,3,4,3,2,4,3,2,2,2,1,2,1,2,2,3,1,1,2,1,2,5,3,4,3,4,2,1,2,3,3,2,1,2,1,2,4,3,4,4,3,4,3,3,4,3,4,5
S055,7,English,A,3,2,3,4,2,4,3,4,1,3,2,2,3,1,2,4,3,4,3,1,1,1,1,2,4,5,2,3,1,3,1,1,2,1,5,2,1,1,3,1,3,3,2,4,,5,4,2,4
S056,7,English,A,1,5,4,4,1,5,5,1,1,4,2,1,1,1,1,1,1,5,5,2,4,1,5,4,1,5,4,1,1,1,1,1,5,4,3,5,1,5,1,5,1,1,1,5,1,1,1,2,5
S057,9,English,A,3,5,2,3,4,5,5,1,1,4,4,3,4,4,3,4,4,2,5,3,3,4,2,3,1,5,4,2,1,5,2,5,4,,5,5,5,1,1,2,1,3,1,3,5,4,3,2,
S058,7,English,A,1,2,1,2,3,4,2,1,1,3,2,1,1,1,1,1,1,1,1,2,2,1,1,1,1,4,2,2,2,1,1,2,2,2,2,3,3,1,1,1,1,1,2,1,1,1,2,1,2
S059,7,English,A,5,3,1,1,1,3,3,1,1,1,2,2,3,,2,2,1,1,4,1,3,2,1,3,3,5,5,3,2,3,4,1,1,1,3,3,2,4,2,3,3,3,2,2,4,3,2,3,5
S060,7,English,A,1,1,1,3,2,4,1,1,1,1,1,1,3,1,1,1,3,1,1,,3,1,1,1,3,4,1,1,1,1,2,2,2,2,3,1,1,1,1,1,5,1,1,1,,1,1,1,1
S061,7,English,A,3,5,4,4,1,5,5,5,3,4,3,4,4,4,4,4,4,2,2,1,4,1,1,3,2,2,2,1,1,1,1,1,2,,2,3,1,5,5,5,5,5,5,1,5,5,1,1,4
S062,9,English,A,4,3,3,4,2,4,4,3,2,2,3,2,4,3,3,4,4,1,3,2,4,2,4,2,4,3,3,4,4,2,4,3,3,4,3,2,4,2,3,4,2,4,2,1,3,4,1,4,5
S063,7,English,A,1,1,2,4,3,3,5,4,2,2,4,1,1,1,2,4,2,1,2,3,5,2,2,4,3,1,3,2,1,1,1,4,3,2,3,2,5,4,4,2,3,4,5,4,3,2,1,5,3
S064,7,English,A,3,5,2,4,1,1,3,2,5,2,3,1,4,1,2,2,1,3,4,2,3,1,2,1,2,4,3,5,1,1,5,1,3,3,2,1,1,5,1,4,1,1,1,5,1,1,4,3,2
S065,7,English,A,2,3,1,2,2,3,3,1,1,2,2,3,2,1,1,1,1,3,4,3,2,4,4,4,3,5,3,1,4,3,3,2,2,3,3,1,2,3,2,3,1,2,1,2,2,2,3,2,3
S066,7,English,A,2,3,2,4,2,1,2,3,1,2,1,1,1,2,2,2,4,2,2,3,1,2,3,1,2,5,3,3,4,5,5,5,5,4,5,3,4,3,2,4,5,4,4,2,3,4,4,3,3
S067,7,English,A,2,3,2,2,2,3,1,2,2,3,3,1,2,1,2,2,2,3,4,4,3,4,3,3,2,3,4,3,2,2,3,4,2,4,3,4,3,3,4,2,4,4,2,2,2,3,3,3,3
S068,7,English,A,3,4,4,3,3,3,5,3,3,2,3,3,3,2,2,3,3,1,2,2,2,1,5,4,,2,4,3,2,4,1,1,3,3,2,2,3,1,2,3,4,5,4,3,2,1,2,3,4
S069,7,English,A,1,5,2,5,1,5,3,2,1,4,4,1,2,4,4,4,2,1,1,5,5,1,3,1,4,5,5,5,1,5,5,4,4,3,2,2,1,5,5,5,5,5,5,5,5,5,5,5,5
S070,7,English,A,2,4,3,3,4,4,2,3,4,2,2,2,3,2,1,1,2,5,4,2,2,1,3,,2,3,2,1,3,3,2,1,2,3,2,4,4,4,1,4,3,3,4,2,5,3,2,4,3
